"MA1" "MA2" "MA3" "CS1" "CS2" "LL1" "LL2" "Y" "Gen" "Car"
83 76 52 64 70 40 77 70 "M" "IQ"
32 43 61 68 59 44 59 56 "M" "IE"
48 71 67 83 75 74 72 65 "H" "IM"
68 59 43 78 69 99 71 60 "M" "IE"
46 60 52 73 85 82 75 75 "M" "IC"
78 21 21 65 77 67 51 48 "H" "IP"
12 58 66 68 67 67 95 45 "H" "IC"
42 27 65 71 72 55 70 50 "M" "IP"
92 88 70 85 84 75 66 69 "H" "IE"
51 17 34 61 83 73 71 43 "H" "IC"
58 85 96 72 39 55 88 77 "M" "IC"
42 67 54 89 65 77 84 59 "H" "IC"
27 29 74 67 47 58 72 51 "H" "IQ"
46 41 61 95 81 62 79 54 "H" "IE"
19 42 43 81 59 74 91 45 "H" "IM"
12 48 53 65 59 56 61 55 "H" "IP"
32 68 58 69 91 73 89 57 "M" "IC"
55 24 65 78 98 85 91 58 "M" "IE"
41 59 59 83 73 95 78 57 "M" "IP"
78 21 27 53 59 72 74 49 "H" "IC"
64 51 47 57 74 44 59 59 "H" "IE"
41 79 50 68 75 80 91 61 "M" "IE"
43 74 70 75 84 82 52 63 "M" "IC"
56 54 33 83 50 54 82 53 "M" "IP"
57 43 27 80 56 60 71 57 "M" "IP"
79 36 52 66 49 50 82 72 "M" "IE"
78 57 40 78 77 88 65 52 "M" "IC"
65 69 72 77 68 55 91 79 "M" "IM"
73 44 87 71 54 42 56 68 "H" "IQ"
73 61 59 68 95 71 45 67 "M" "IM"
51 35 65 67 93 53 59 42 "M" "IM"
37 12 29 62 77 71 60 37 "H" "IQ"
47 31 43 63 55 80 89 47 "H" "IE"
66 56 58 67 74 41 79 63 "H" "IM"
69 78 81 74 63 47 78 74 "M" "IC"
63 82 58 74 93 87 77 69 "H" "IE"
64 47 51 71 99 52 57 58 "M" "IM"
46 51 38 70 48 62 80 51 "H" "IC"
49 70 76 83 82 88 63 67 "M" "IP"
77 60 90 82 79 57 55 60 "M" "IC"
30 61 13 80 90 81 75 43 "H" "IQ"
65 56 64 59 57 54 66 65 "M" "IE"
69 79 57 58 88 63 97 69 "M" "IM"
24 42 42 66 81 32 62 56 "M" "IM"
32 42 56 91 89 86 62 50 "M" "IM"
79 74 89 71 80 57 38 78 "H" "IP"
72 60 47 62 54 83 90 62 "H" "IQ"
28 40 62 66 46 68 86 41 "H" "IE"
11 61 59 79 85 68 60 50 "H" "IM"
44 38 57 59 47 76 82 70 "M" "IC"
59 37 47 60 80 88 78 55 "H" "IQ"
50 63 61 94 86 65 69 73 "M" "IQ"
60 27 67 75 73 57 42 63 "M" "IC"
80 70 45 74 64 70 96 67 "M" "IM"
39 50 70 73 40 86 65 57 "M" "IQ"
91 72 85 76 60 75 63 67 "M" "IC"
46 88 57 65 88 73 76 66 "H" "IQ"
64 29 44 57 63 71 84 42 "M" "IM"
16 53 52 68 54 44 58 46 "H" "IQ"
25 75 58 61 80 64 77 57 "H" "IM"
57 35 69 74 81 43 66 52 "M" "IC"
88 60 77 68 63 83 44 74 "H" "IC"
62 43 79 73 80 85 57 64 "M" "IC"
18 76 67 84 59 53 82 59 "H" "IP"
65 82 77 67 86 76 83 74 "H" "IE"
62 80 49 68 72 40 63 65 "M" "IM"
29 55 51 94 50 53 47 59 "M" "IM"
81 73 58 82 45 52 73 71 "H" "IQ"
63 63 52 68 57 57 76 63 "M" "IC"
30 57 76 67 74 78 86 58 "H" "IP"
55 42 60 61 96 69 47 69 "M" "IP"
73 90 81 59 75 81 76 66 "H" "IP"
87 64 70 72 94 54 75 83 "M" "IE"
79 83 70 88 88 76 71 61 "H" "IM"
18 32 51 84 51 39 54 51 "H" "IC"
45 45 58 78 63 57 68 56 "H" "IM"
49 80 32 86 49 93 73 58 "H" "IC"
97 70 62 76 69 46 50 75 "M" "IQ"
79 32 73 67 72 69 94 64 "H" "IQ"
84 81 80 73 97 87 84 67 "M" "IQ"
43 43 17 82 62 67 85 43 "H" "IC"
56 53 87 95 84 72 60 69 "H" "IP"
38 71 69 63 73 48 56 63 "M" "IP"
27 52 75 74 81 68 77 56 "H" "IQ"
83 75 80 64 49 52 83 76 "M" "IC"
49 46 47 68 82 64 65 54 "H" "IP"
48 50 81 62 92 60 58 61 "H" "IP"
87 81 92 69 62 62 82 72 "M" "IE"
25 31 11 86 70 68 79 40 "M" "IE"
59 78 62 75 66 96 63 68 "M" "IP"
17 18 45 63 34 72 58 60 "H" "IM"
24 46 44 62 76 48 55 46 "M" "IM"
89 91 87 70 90 74 85 64 "H" "IC"
77 42 83 72 82 65 50 68 "M" "IE"
59 65 74 84 51 59 47 67 "M" "IM"
22 68 60 69 74 63 70 39 "M" "IP"
