"MA1" "MA2" "MA3" "CS1" "CS2" "LL1" "LL2" "Y"
60 26 81 66 80 81 58 59
50 66 60 61 99 66 49 62
39 50 70 73 30 86 65 57
71 77 76 78 72 59 73 73
50 63 61 94 76 65 69 73
26 80 57 86 89 39 65 58
74 06 37 87 56 42 75 48
48 81 12 74 40 24 90 46
72 65 61 69 81 46 42 67
77 42 83 72 82 75 50 68
60 77 50 62 82 67 29 63
29 85 51 94 50 53 27 59
65 56 64 59 57 54 86 65
18 32 81 84 51 39 54 51
46 58 54 71 64 69 46 57
82 39 70 57 83 27 15 73
37 57 20 67 86 90 40 45
20 53 54 82 42 97 61 48
43 43 17 82 62 67 85 43
41 70 92 78 85 64 49 68
87 64 90 72 94 54 75 83
49 67 48 65 91 59 42 58
19 83 70 88 88 76 71 61
49 46 47 68 82 64 35 54
11 35 65 67 93 53 59 42
79 36 92 66 49 40 82 72
55 24 85 78 98 35 81 58
91 73 65 65 56 33 90 75
12 58 66 68 67 67 95 45
63 76 82 59 44 72 34 72
32 35 85 54 86 38 75 56
64 36 72 70 89 55 77 60
22 68 20 69 74 63 70 39
54 08 84 60 10 13 69 54
43 74 70 75 94 92 52 63
84 31 80 73 97 87 34 67
64 47 51 71 99 52 57 58
42 75 82 69 69 51 65 68
41 59 59 83 73 95 78 57
41 40 55 57 66 70 68 51
15 54 63 75 92 57 45 52
25 75 58 61 90 64 77 57
05 69 61 85 58 59 40 49
21 55 68 66 82 38 72 54
65 56 67 92 93 97 83 64
68 59 43 78 69 99 71 60
19 42 43 81 49 74 91 45
41 79 50 68 75 30 91 61
53 78 50 69 65 13 83 61
28 25 57 58 77 97 38 45
45 65 73 85 75 73 76 62
81 73 58 82 45 52 73 71
80 70 45 74 64 70 96 67
50 33 70 73 95 61 46 57
83 55 90 64 49 52 83 76
87 41 92 69 62 62 82 72
78 21 21 65 37 67 51 48
37 12 29 62 77 71 40 37
79 63 63 66 83 41 73 69
58 72 85 73 40 99 56 72
